id,source,timestamp,multiplier,color,band,points,source_file,ingest_method,created_at
130,aviator,2026-07-24T13:44:13.105+00:00,2.31,"rgb(145, 62, 248)",base,136.237,momento_rounds_aviator_1784900653105.json,file,2026-07-24T22:24:15.812+00:00
131,aviator,2026-07-24T13:44:37.378+00:00,2.69,"rgb(145, 62, 248)",base,142.828,momento_rounds_aviator_1784900677378.json,file,2026-07-24T22:24:16.066+00:00
132,aviator,2026-07-24T13:45:12.541+00:00,6.86,"rgb(145, 62, 248)",high,183.346,momento_rounds_aviator_1784900712541.json,file,2026-07-24T22:24:16.418+00:00
133,aviator,2026-07-24T13:45:51.647+00:00,8.88,"rgb(145, 62, 248)",high,194.517,momento_rounds_aviator_1784900751647.json,file,2026-07-24T22:24:16.676+00:00
134,aviator,2026-07-24T13:46:03.982+00:00,1.01,"rgb(52, 180, 255)",dust,100.431,momento_rounds_aviator_1784900763982.json,file,2026-07-24T22:24:16.876+00:00
135,aviator,2026-07-24T13:46:23.186+00:00,1.64,"rgb(52, 180, 255)",low,121.411,momento_rounds_aviator_1784900783186.json,file,2026-07-24T22:24:17.104+00:00
136,aviator,2026-07-24T22:24:25.538+00:00,6.54,purple,high,181.279,chain:c95a2a9b53a6,live-feed,2026-07-24T22:24:25.538+00:00
137,aviator,2026-07-24T13:46:39.501+00:00,1.47,"rgb(52, 180, 255)",floor,116.674,momento_rounds_aviator_1784900799501.json,file,2026-07-24T22:24:25.773+00:00
138,aviator,2026-07-24T13:46:51.585+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,momento_rounds_aviator_1784900811585.json,file,2026-07-24T22:24:25.990+00:00
139,aviator,2026-07-24T13:47:16.084+00:00,2.92,"rgb(145, 62, 248)",base,146.379,momento_rounds_aviator_1784900836084.json,file,2026-07-24T22:24:26.259+00:00
140,aviator,2026-07-24T13:47:36.165+00:00,1.91,"rgb(52, 180, 255)",low,128.007,momento_rounds_aviator_1784900856165.json,file,2026-07-24T22:24:26.517+00:00
141,aviator,2026-07-24T13:47:51.265+00:00,1.37,"rgb(52, 180, 255)",floor,113.625,momento_rounds_aviator_1784900871265.json,file,2026-07-24T22:24:26.737+00:00
142,aviator,2026-07-24T13:48:28.711+00:00,9.32,"rgb(145, 62, 248)",high,196.61,momento_rounds_aviator_1784900908711.json,file,2026-07-24T22:24:26.977+00:00
143,aviator,2026-07-24T13:49:31.351+00:00,69.46,"rgb(192, 23, 180)",mega,283.543,momento_rounds_aviator_1784900971351.json,file,2026-07-24T22:24:27.269+00:00
144,aviator,2026-07-24T13:50:46.841+00:00,208.75,"rgb(192, 23, 180)",cosmic,331.169,momento_rounds_aviator_1784901046842.json,file,2026-07-24T22:24:27.493+00:00
145,aviator,2026-07-24T13:51:05.905+00:00,1.67,"rgb(52, 180, 255)",low,122.195,momento_rounds_aviator_1784901065905.json,file,2026-07-24T22:24:27.781+00:00
146,aviator,2026-07-24T13:51:29.028+00:00,2.0,"rgb(145, 62, 248)",base,130.0,momento_rounds_aviator_1784901089028.json,file,2026-07-24T22:24:28.019+00:00
147,aviator,2026-07-24T13:51:45.220+00:00,1.47,"rgb(52, 180, 255)",floor,116.674,momento_rounds_aviator_1784901105220.json,file,2026-07-24T22:24:28.247+00:00
148,aviator,2026-07-24T13:52:06.518+00:00,2.29,"rgb(145, 62, 248)",base,135.86,momento_rounds_aviator_1784901126518.json,file,2026-07-24T22:24:28.501+00:00
149,aviator,2026-07-24T22:24:43.638+00:00,1.35,blue,floor,112.989,chain:6edab8ee5f8b,live-feed,2026-07-24T22:24:43.638+00:00
150,aviator,2026-07-24T13:52:22.602+00:00,1.5,"rgb(52, 180, 255)",low,117.549,momento_rounds_aviator_1784901142602.json,file,2026-07-24T22:24:43.933+00:00
151,aviator,2026-07-24T13:52:44.759+00:00,2.09,"rgb(145, 62, 248)",base,131.905,momento_rounds_aviator_1784901164759.json,file,2026-07-24T22:24:44.300+00:00
152,aviator,2026-07-24T13:53:22.017+00:00,8.9,"rgb(145, 62, 248)",high,194.614,momento_rounds_aviator_1784901202017.json,file,2026-07-24T22:24:44.648+00:00
153,aviator,2026-07-24T13:53:35.118+00:00,1.09,"rgb(52, 180, 255)",dust,103.73,momento_rounds_aviator_1784901215118.json,file,2026-07-24T22:24:44.910+00:00
154,aviator,2026-07-24T13:53:52.260+00:00,1.42,"rgb(52, 180, 255)",floor,115.177,momento_rounds_aviator_1784901232260.json,file,2026-07-24T22:24:45.307+00:00
155,aviator,2026-07-24T13:54:05.373+00:00,1.05,"rgb(52, 180, 255)",dust,102.112,momento_rounds_aviator_1784901245373.json,file,2026-07-24T22:24:45.810+00:00
156,aviator,2026-07-24T13:54:43.659+00:00,9.65,"rgb(145, 62, 248)",high,198.116,momento_rounds_aviator_1784901283659.json,file,2026-07-24T22:24:46.318+00:00
157,aviator,2026-07-24T13:55:14.233+00:00,4.21,"rgb(145, 62, 248)",mid,162.215,momento_rounds_aviator_1784901314233.json,file,2026-07-24T22:24:46.929+00:00
158,aviator,2026-07-24T13:55:29.468+00:00,1.28,"rgb(52, 180, 255)",floor,110.684,momento_rounds_aviator_1784901329468.json,file,2026-07-24T22:24:47.526+00:00
159,aviator,2026-07-24T13:56:00.685+00:00,4.77,"rgb(145, 62, 248)",mid,167.62,momento_rounds_aviator_1784901360685.json,file,2026-07-24T22:24:47.873+00:00
160,aviator,2026-07-24T13:56:14.847+00:00,1.03,"rgb(52, 180, 255)",dust,101.279,momento_rounds_aviator_1784901374847.json,file,2026-07-24T22:24:48.325+00:00
161,aviator,2026-07-24T13:56:39.907+00:00,3.15,"rgb(145, 62, 248)",mid,149.661,momento_rounds_aviator_1784901399907.json,file,2026-07-24T22:24:49.005+00:00
162,aviator,2026-07-24T13:57:46.210+00:00,79.79,"rgb(192, 23, 180)",mega,289.544,momento_rounds_aviator_1784901466211.json,file,2026-07-24T22:24:50.268+00:00
163,aviator,2026-07-24T13:58:01.503+00:00,1.24,"rgb(52, 180, 255)",floor,109.31,momento_rounds_aviator_1784901481503.json,file,2026-07-24T22:24:51.093+00:00
164,aviator,2026-07-24T22:24:51.659+00:00,1.63,blue,low,121.146,chain:4d07c222a6d3,live-feed,2026-07-24T22:24:51.659+00:00
165,aviator,2026-07-24T13:58:29.678+00:00,3.48,"rgb(145, 62, 248)",mid,153.973,momento_rounds_aviator_1784901509678.json,file,2026-07-24T22:24:51.706+00:00
166,aviator,2026-07-24T13:58:44.718+00:00,1.16,"rgb(52, 180, 255)",dust,106.424,momento_rounds_aviator_1784901524718.json,file,2026-07-24T22:24:52.206+00:00
167,aviator,2026-07-24T13:59:07.927+00:00,1.88,"rgb(52, 180, 255)",low,127.322,momento_rounds_aviator_1784901547927.json,file,2026-07-24T22:24:52.653+00:00
168,aviator,2026-07-24T13:59:49.411+00:00,8.56,"rgb(145, 62, 248)",high,192.928,momento_rounds_aviator_1784901589411.json,file,2026-07-24T22:24:53.404+00:00
169,aviator,2026-07-24T14:00:19.597+00:00,4.45,"rgb(145, 62, 248)",mid,164.614,momento_rounds_aviator_1784901619597.json,file,2026-07-24T22:24:53.965+00:00
170,aviator,2026-07-24T14:00:59.326+00:00,8.91,"rgb(145, 62, 248)",high,194.663,momento_rounds_aviator_1784901659326.json,file,2026-07-24T22:24:54.412+00:00
171,aviator,2026-07-24T14:01:27.510+00:00,3.74,"rgb(145, 62, 248)",mid,157.091,momento_rounds_aviator_1784901687510.json,file,2026-07-24T22:24:54.714+00:00
172,aviator,2026-07-24T14:01:50.801+00:00,2.02,"rgb(145, 62, 248)",base,130.431,momento_rounds_aviator_1784901710801.json,file,2026-07-24T22:24:55.013+00:00
173,aviator,2026-07-24T14:02:19.988+00:00,4.2,"rgb(145, 62, 248)",mid,162.112,momento_rounds_aviator_1784901739988.json,file,2026-07-24T22:24:55.294+00:00
174,aviator,2026-07-24T14:02:37.137+00:00,1.36,"rgb(52, 180, 255)",floor,113.308,momento_rounds_aviator_1784901757139.json,file,2026-07-24T22:24:55.525+00:00
175,aviator,2026-07-24T14:02:53.191+00:00,1.24,"rgb(52, 180, 255)",floor,109.31,momento_rounds_aviator_1784901773191.json,file,2026-07-24T22:24:55.924+00:00
176,aviator,2026-07-24T14:03:26.370+00:00,6.42,"rgb(145, 62, 248)",high,180.477,momento_rounds_aviator_1784901806371.json,file,2026-07-24T22:24:56.281+00:00
